cod_postal,city,latitude,longitude
08251,"Castellnou De Bages, Santpedor",41.78355,1.8425500000000001
08260,"Argensola (Castellnou De Bages), Suria",41.8333,1.75
08261,"La Coromina, Cardona",41.91175,1.6857
08271,Artes,41.798,1.9543
08272,"Sant Fruitos De Bages, El Pont De Cabrianes",41.75,1.8667
08290,Cerdanyola Del Valles,41.4911,2.1408
08291,Ripollet,41.4975,2.1576
08292,"Serra Alta (Hostalets De Pierola), Can Fosalba (Hostalets De Pierola), Esparreguera",41.535066666666665,1.8004666666666667
08300,Mataro,41.5421,2.4445
08301,Mataro,41.5421,2.4445
08302,Mataro,41.5421,2.4445
08303,Mataro,41.5421,2.4445
08304,Mataro,41.5421,2.4445
08310,Argentona,41.553,2.4
08320,El Masnou,41.4874,2.326
08330,Premia De Mar,41.4921,2.3652
08338,Premia De Dalt,41.5,2.35
08339,Vilassar De Dalt,41.5167,2.3667
08340,Vilassar De Mar,41.5096,2.3936
08348,Cabrils,41.5206,2.3875
08350,Arenys De Mar,41.5819,2.5494
